participant_id,run,puzzle_id,attempt,pnp,frame
63,2,12,0,0,2023-07-19-085424_63_2_12_0_frames.json
57,1,14,2,0,2023-07-13-141457_57_1_14_2_frames.json
56,1,5,0,0,2023-07-13-140906_56_1_5_0_frames.json
41,1,26,0,0,2022-10-28-084044_41_1_26_0_frames.json
37,2,11,0,0,2022-10-27-140827_37_2_11_0_frames.json
69,2,10,0,0,2023-07-20-083516_69_2_10_0_frames.json
58,1,3,0,0,2023-07-14-080110_58_1_3_0_frames.json
66,2,14,9,0,2023-07-19-145512_66_2_14_9_frames.json
70,2,13,1,0,2023-07-21-083828_70_2_13_1_frames.json
66,2,0,0,0,2023-07-19-145512_66_2_0_0_frames.json
65,1,19,5,0,2023-07-19-133815_65_1_19_5_frames.json
67,2,14,1,0,2023-07-20-083344_67_2_14_1_frames.json
45,1,14,3,0,2022-10-31-085847_45_1_14_3_frames.json
47,1,2,0,0,2022-10-31-135739_47_1_2_0_frames.json
54,1,6,0,0,2023-07-13-080236_54_1_6_0_frames.json
70,2,19,1,0,2023-07-21-083828_70_2_19_1_frames.json
51,1,17,0,0,2023-07-06-084219_51_1_17_0_frames.json
63,2,11,1,0,2023-07-19-085424_63_2_11_1_frames.json
34,1,14,0,0,2022-10-27-103120_34_1_14_0_frames.json
52,2,27,2,0,2023-07-06-140707_52_2_27_2_frames.json
66,1,11,7,0,2023-07-19-141935_66_1_11_7_frames.json
66,1,14,14,0,2023-07-19-141935_66_1_14_14_frames.json
55,1,12,0,0,2023-07-13-080347_55_1_12_0_frames.json
43,1,15,0,0,2022-10-28-131134_43_1_15_0_frames.json
40,1,12,0,0,2022-10-28-084441_40_1_12_0_frames.json
46,2,23,0,0,2022-10-31-092145_46_2_23_0_frames.json
33,1,2,0,0,2022-10-27-092230_33_1_2_0_frames.json
59,1,14,1,0,2023-07-14-080528_59_1_14_1_frames.json
59,2,4,1,0,2023-07-14-085529_59_2_4_1_frames.json
68,1,9,0,0,2023-07-20-081254_68_1_9_0_frames.json
31,1,9,0,0,2022-10-27-080305_31_1_9_0_frames.json
31,1,21,4,0,2022-10-27-080305_31_1_21_4_frames.json
51,1,27,4,0,2023-07-06-084219_51_1_27_4_frames.json
54,1,13,0,0,2023-07-13-080236_54_1_13_0_frames.json
37,2,17,0,0,2022-10-27-140827_37_2_17_0_frames.json
62,1,14,1,0,2023-07-17-091343_62_1_14_1_frames.json
43,1,7,1,0,2022-10-28-131134_43_1_7_1_frames.json
35,2,17,0,0,2022-10-27-120919_35_2_17_0_frames.json
39,2,4,0,0,2022-10-27-141748_39_2_4_0_frames.json
64,2,23,0,0,2023-07-19-115355_64_2_23_0_frames.json
56,1,15,2,0,2023-07-13-140906_56_1_15_2_frames.json
46,2,27,0,0,2022-10-31-092145_46_2_27_0_frames.json
58,2,17,0,0,2023-07-14-085218_58_2_17_0_frames.json
58,1,9,0,0,2023-07-14-080110_58_1_9_0_frames.json
39,1,15,0,0,2022-10-27-134039_39_1_15_0_frames.json
69,2,24,0,0,2023-07-20-083516_69_2_24_0_frames.json
64,2,1,0,0,2023-07-19-115355_64_2_1_0_frames.json
67,2,20,0,0,2023-07-20-083344_67_2_20_0_frames.json
63,2,16,1,0,2023-07-19-085424_63_2_16_1_frames.json
64,2,11,0,0,2023-07-19-115355_64_2_11_0_frames.json
38,1,13,0,0,2022-10-27-134814_38_1_13_0_frames.json
55,2,23,0,0,2023-07-13-082819_55_2_23_0_frames.json
48,2,10,1,0,2022-11-01-092839_48_2_10_1_frames.json
52,2,25,0,0,2023-07-06-140707_52_2_25_0_frames.json
67,2,17,1,0,2023-07-20-083344_67_2_17_1_frames.json
39,2,7,0,0,2022-10-27-141748_39_2_7_0_frames.json
56,1,19,1,0,2023-07-13-140906_56_1_19_1_frames.json
35,2,26,0,0,2022-10-27-120919_35_2_26_0_frames.json
47,2,5,0,0,2022-10-31-143058_47_2_5_0_frames.json
64,1,10,1,0,2023-07-19-112134_64_1_10_1_frames.json
